,kategori,kategori_kod
253,simulasyon-aksesuarlari,80448051.0
254,guvenlik-antivirus-programlari,60000207.0
255,office-yazilimlari,91410.0
256,notebook-cantalari,676.0
257,tablet-ipad-aksesuarlari,60000203.0
258,kablo-switch-coklayicilar,757.0
259,lazer-yazicilar,6.0
260,tankli-yazici,80194056.0
261,murekkep-puskurtmeli-yazicilar,4.0
262,nokta-vuruslu-yazicilar,5.0
263,fotograf-yazicisi,60008974.0
264,3d-yazici,60008975.0
265,barkod-yazicilar,106502.0
266,tarayicilar,37.0
267,tonerler,320.0
268,murekkep-kartuslar,243.0
269,bilgisayar-drumlar,636.0
270,yazici-seritleri,114.0
271,fotokopi-kagitlari,15117.0
272,projeksiyon-sunum-kumandalari,21028149.0
273,projeksiyon-perdeleri,15008.0
274,projektor-kablo-aparatlari,15548.0
275,projeksiyon-lambalar,21020430.0
276,iphone-ios-telefonlar,60005202.0
277,android-telefonlar,60005201.0
278,samsung/android-telefonlar,60005201.0
279,xiaomi/android-telefonlar,60005201.0
280,oppo/android-telefonlar,60005201.0
281,,
282,huawei/android-telefonlar,60005201.0
283,reeder/android-telefonlar,60005201.0
284,ikinci-el-cep-telefonu,60006410.0
285,honor/android-telefonlar,60005201.0
286,tecno/android-telefonlar,60005201.0
287,poco/android-telefonlar,60005201.0
288,opporealme/android-telefonlar,60005201.0
289,diger-telefonlar,60005204.0
290,akilli-saatler,60003676.0
291,akilli-bileklikler,60004670.0
292,tasinabilir-pilli-sarj-cihazlari,60004584.0
293,bluetooth-kulakliklar,16218.0
294,cep-telefonu-kiliflari,16102.0
295,sarj-cihazlari,16113.0
296,telefon-kablolari,29010123.0
297,arac-ici-telefon-tutacaklari,29004492.0
298,ekran-koruyucu,80315023.0
299,kulaklik-setleri,16117.0
300,tasinabilir-hoparlorler,376097.0
301,telefon-oyun-aksesuarlari,60001038.0
302,selfie-ozcekim-cubuklari,60005237.0
303,tasarim-kiliflar,60003561.0
304,sanal-gerceklik-gozlukleri,60005915.0
305,bluetooth-arac-kitleri,16217.0
306,giyilebilir-teknoloji-aksesuarlari,375468.0
307,bluetooth-kulaklik-aksesuarlari,80413102.0
308,cep-telefonu-yedek-parcalari,60007722.0
309,diger-telefon-aksesuarlari,60002300.0
310,gps-takip-cihazlari,60004613.0
311,akilli-saatler,60003676.0
312,akilli-saatler,60003676.0
313,giyilebilir-teknoloji-aksesuarlari,375468.0
314,cep-telefonu-kiliflari,16102.0
315,tasarim-kiliflar,60003561.0
316,arac-ici-telefon-tutacaklari,29004492.0
317,arac-sarji,80314029.0
318,telefon-oyun-aksesuarlari,60001038.0
319,sanal-gerceklik-gozlukleri,60005915.0
320,samsung/televizyon-led-tv,163192.0
321,lg/televizyon-led-tv,163192.0
322,vestel/televizyon-led-tv,163192.0
323,philips/led-tv-televizyonlar,163192.0
324,grundig/led-tv-televizyonlar,163192.0
325,toshiba/led-tv-televizyonlar,163192.0
326,tcl/led-tv-televizyonlar,163192.0
327,samsung/ev-sinema-sistemleri,152492.0
328,lg/ev-sinema-sistemleri,152492.0
329,harmankardon3/ev-sinema-sistemleri,152492.0
330,sony/ev-sinema-sistemleri,152492.0
331,bose/ev-sinema-sistemleri,152492.0
332,yamaha/ev-sinema-sistemleri,152492.0
333,denon/ev-sinema-sistemleri,152492.0
334,jbl/bluetooth-hoparlorler,60004557.0
335,harmankardon3/bluetooth-hoparlorler,60004557.0
336,philips/bluetooth-hoparlorler,60004557.0
337,bose/bluetooth-hoparlorler,60004557.0
338,mikado/bluetooth-hoparlorler,60004557.0
339,yamaha/bluetooth-hoparlorler,60004557.0
340,denon/bluetooth-hoparlorler,60004557.0
341,ultimateears/bluetooth-hoparlorler,60004557.0
342,lg/bluetooth-hoparlorler,60004557.0
343,anker/bluetooth-hoparlorler,60004557.0
344,alarm-saatli-radyolar,17498.0
345,portatif-sistemler,17012.0
346,muzik-setleri,17011.0
347,projeksiyon-cihazlari,15530.0
348,projeksiyon-lambalar,21020430.0
349,projeksiyon-perdeleri,15008.0
350,projeksiyon-sunum-kumandalari,21028149.0
351,next/uydu-alicilari,155057.0
352,dreamstar/uydu-alicilari,155057.0
353,hiremco/uydu-alicilari,155057.0
354,redline/uydu-alicilari,155057.0
355,goldmaster/uydu-alicilari,155057.0
356,samsung/dvd-blu-ray-oynaticilar,155124.0
357,sony/dvd-blu-ray-oynaticilar,155124.0
358,philips/dvd-blu-ray-oynaticilar,155124.0
359,goldmaster/dvd-blu-ray-oynaticilar,155124.0
360,hdmi-kablolar,60005398.0
361,ses-kablolari,60005399.0
362,donusturuculer,60005401.0
363,tv-aski-aparatlari,17539.0
364,akim-korumali-prizler,17288.0
365,3d-gozlukler,60004528.0
366,tv-ekran-koruyucular,80407000.0
367,kamera-sistemleri,60007380.0
368,guvenlik-kameralari,161837.0
369,dvr-kayit-cihazi,60007237.0
370,alarm-sistemleri,162051.0
371,xiaomi/media-player,80271010.0
372,google/media-player,80271010.0
373,apple/media-player,80271010.0
374,zappiti/media-player,80271010.0
375,samsung/camasir-makineleri,155121.0
376,bosch/camasir-makineleri,155121.0
377,altus/camasir-makineleri,155121.0
378,arcelik/camasir-makineleri,155121.0
379,hoover/camasir-makineleri,155121.0
380,beko/camasir-makineleri,155121.0
381,grundig/camasir-makineleri,155121.0
382,vestel/camasir-makineleri,155121.0
383,profilo/camasir-makineleri,155121.0
384,electrolux/camasir-makineleri,155121.0
385,vestfrost/camasir-makineleri,155121.0
386,lg/camasir-makineleri,155121.0
387,siemens/camasir-makineleri,155121.0
388,miele/camasir-makineleri,155121.0
389,regal/camasir-makineleri,155121.0
390,seg/camasir-makineleri,155121.0
